Title,Release Date,Color/B&W,Genre,Language,Country,Rating,Lead Actor,Director Name,Lead Actor FB Likes,Cast FB Likes,Director FB Likes,Movie FB Likes,IMDb Score (1-10),Total Reviews,Duration (min),Gross Revenue,Budget
Over the Hill to the Poorhouse,15-09-1920,Black and White,Crime,English,USA,Not Rated,Stephen Carr,Harry F. Millarde,2,4,0,0,4.8,1,110,3000000,100000
Metropolis,26-01-1927,Black and White,Drama,German,Germany,Not Rated,Brigitte Helm,Fritz Lang,136,203,756,12000,8.3,260,145,26435,6000000
The Broadway Melody,11-11-1929,Black and White,Musical,English,USA,Passed,Anita Page,Harry Beaumont,77,109,4,167,6.3,36,100,2808000,379000
42nd Street,29-08-1933,Black and White,Comedy,English,USA,Unrated,Ginger Rogers,Lloyd Bacon,610,995,24,439,7.7,65,89,2300000,439000
Top Hat,15-04-1935,Black and White,Comedy,English,USA,Approved,Ginger Rogers,Mark Sandrich,610,824,10,1000,7.8,66,81,3000000,609000
Modern Times,07-10-1936,Black and White,Comedy,English,USA,G,Paulette Goddard,Charles Chaplin,309,352,0,0,8.6,120,87,163245,1500000
Snow White and the Seven Dwarfs,02-02-1937,Color,Animation,English,USA,Approved,Adriana Caselotti,William Cottrell,82,229,0,0,7.7,145,83,184925485,2000000
Gone with the Wind,12-11-1939,Color,Drama,English,USA,G,Hattie McDaniel,Victor Fleming,503,1862,149,16000,8.2,157,226,198655278,3977000
The Wizard of Oz,09-04-1939,Black and White,Adventure,English,USA,Passed,Margaret Hamilton,Victor Fleming,695,2509,149,14000,8.1,213,102,22202612,2800000
Fantasia,18-05-1940,Color,Animation,English,USA,G,Leopold Stokowski,James Algar,16,16,11,3000,7.8,99,120,76400000,2280000
Pinocchio,12-10-1940,Color,Animation,English,USA,Approved,Mel Blanc,Norman Ferguson,1000,1178,3,0,7.5,105,88,84300000,2600000
Duel in the Sun,07-06-1946,Color,Drama,English,USA,Unrated,Joseph Cotten,King Vidor,469,2037,54,403,6.9,32,144,20400000,8000000
